Country,Colour
BGD,1
KHM,1
IRQ,1
IRQ,1
JOR,1
JOR,1
MDV,1
MNG,1
MNG,1
MNG,1
PHL,1
THA,1
THA,1
TLS,1
IND,0
PHL,1
IDN,1
BGD,1
PAK,1
IRQ,1
PAK,2
MMR,2
VNM,2
HKG,2
SAU,2
SGP,2
LKA,2
