Country,Colour
RWA,1
ZMB,1
ZMB,1
TZN,1
EAK,1
CPV,1
CPV,1
TCD,1
COG,1
COD,1
COD,1
GAB,1
GHA,1
GIN,1
GNB,1
LBR,1
MDG,1
MDG,1
MRT,1
MOZ,1
RWA,1
SYC,1
SDN,1
TZA,1
TZA,1
TGO,1
GIN,1
MWI,1
MWI,1
SEN,1
AGO,1
EGY,0
NGA,1
NGA,1
BEN,1
BEN,1
MDG,1
DZA,1
CIV,1
TUN,2
