date,exact,status,colour,country,code,continent,provider,reference 1,reference 2,reference 3
1/1/2015,Not exact,Added,1,Ghana,GHA,Africa,Airtel,https://en.wikipedia.org/wiki/Free_Basics#Participants,"5. Lilian Mutegi (26 January 2015). ""Ghana: Facebook, Airtel Partner to Bring Internet.org APP to Ghana"". AllAfrica. Nairobi. Retrieved January 27, 2015. http://allafrica.com/stories/201501270091.html",
11/1/2014,Not exact,Added,1,Seychelles,SYC,Africa,Airtel,https://info.internet.org/en/story/where-weve-launched/,https://asokoinsight.com/news/airtel-spends-28-million-high-speed-internet-upgrade-kenya,
6/1/2016,Not exact,Added,1,Madagascar,MDG,Africa,Blueline,https://info.internet.org/en/story/where-weve-launched/,https://ict.io/formation-drupal-maurice-nicolas-bouteille/,
3/30/2016,Not Exact,Added,1,Bangladesh,BGD,Asia,Grameenphone,https://info.internet.org/en/story/where-weve-launched/,https://www.grameenphone.com/about/media-center/press-release/grameenphone-launches-facebook-free-basics,
11/1/2015,Not Exact,Added,1,Mongolia,MNG,Asia,Mobicom,https://info.internet.org/en/story/where-weve-launched/,https://www.youtube.com/watch?v=rY_R_dmdduk,
10/22/2015,Not Exact,Added,1,Liberia,LBR,Africa,Orange,https://info.internet.org/en/story/where-weve-launched/,http://allafrica.com/stories/201510230890.html,
3/1/2017,Not Exact,Added,1,Vanuatu,VUT,Oceania,Telecom,https://info.internet.org/en/story/where-weve-launched/,http://www.loopvanuatu.com/vanuatu-news/digicel-and-tvl-agree-provide-free-access-web-based-public-health-information-system,
11/1/2014,Not Exact,Added,1,Rwanda,RWA,Africa,Tigo,https://info.internet.org/en/story/where-weve-launched/,https://asokoinsight.com/news/airtel-spends-28-million-high-speed-internet-upgrade-kenya,
1/1/2015,Not exact,Added,1,Colombia,COL,South America,Tigo,https://en.wikipedia.org/wiki/Free_Basics#Participants,"4. Owen Williams (14 January 2015). ""Facebook's Internet.org app launches in Colombia"". The Next Web. https://www.forbes.com/sites/federicoguerrini/2014/11/13/facebook-gateway-drug-internet-app-comes-to-kenya/",
8/1/2015,Not exact,Added,1,Democratic Republic of the Congo,COD,Africa,Vodacom,https://info.internet.org/en/story/where-weve-launched/,http://ponabana.com/en/revolution-internet-on-mobile-phones-free-and-for-all/,
